transaction_id,user_id,product_id,amount,payment_type,date,name,age,gender,city,registration_date,category,price,stock
T000033,U0012,P021,56.11,Wallet,2025-08-26,Aarohi Singh,28.0,Other,Ghaziabad,2024-06-25,Books,3055.12,169.0
T000034,U0181,P025,36.93,Net Banking,2023-11-08,Aditya Bose,37.0,Female,Bengaluru,2023-08-14,Electronics,1408.97,272.0
T000035,U0127,P003,154.71,Debit Card,2025-10-25,Ishaan Nair,24.0,Female,Vadodara,2022-03-24,Beauty,3027.98,127.0
T000036,U0152,P022,79.87,Credit Card,2025-06-20,Vivaan Mehta,34.0,Other,Indore,2023-11-09,Electronics,3207.91,466.0
T000037,U0026,P034,21.28,Net Banking,2023-02-01,Ira Joshi,32.0,Male,Delhi,2024-05-31,Books,474.01,362.0
T000038,U0185,P010,61.06,Net Banking,2023-11-13,Ira Bose,30.0,Female,Thane,2022-11-01,Sports,1315.44,77.0
T000039,U0020,P031,36.71,UPI,2024-11-24,Vivaan Ghosh,20.0,Male,Lucknow,2023-02-15,Grocery,3035.94,111.0
T000040,U0160,P045,91.05,Net Banking,2023-06-14,Myra Chopra,37.0,Other,Nagpur,2022-12-11,Grocery,992.11,139.0
T000041,U0085,P044,33.94,Cash,2025-02-17,Arjun Kapoor,25.0,Male,Kanpur,2023-08-20,Beauty,1655.45,268.0
T000042,U0082,P041,50.97,Wallet,2025-09-26,Ishaan Verma,34.0,Male,Lucknow,2024-02-29,Home,3218.83,273.0
T000043,U0139,P003,73.92,Cash,2023-05-21,Kiara Reddy,38.0,Female,Pune,2022-02-21,Beauty,3027.98,127.0
T000044,U0061,P041,91.79,Wallet,2024-08-11,Aarohi Joshi,28.0,Male,Chennai,2022-10-31,Home,3218.83,273.0
T000045,U0059,P048,26.57,Credit Card,2025-06-07,Vivaan Iyer,34.0,Female,Mumbai,2023-02-04,Clothing,3666.72,295.0
T000046,U0026,P049,44.67,Wallet,2023-07-25,Ira Joshi,32.0,Male,Delhi,2024-05-31,Home,1701.17,159.0
T000047,U0114,P011,41.06,Wallet,2024-09-05,Sai Singh,51.0,Male,Chennai,2022-05-31,Electronics,1410.29,36.0
T000048,U0008,P003,36.89,UPI,2023-04-25,Ishaan Reddy,38.0,Male,Lucknow,2022-04-15,Beauty,3027.98,127.0
T000049,U0076,P023,154.71,UPI,2025-06-01,Ira Sharma,38.0,Other,Vadodara,2022-11-03,Books,1984.98,450.0
T000050,U0038,P016,69.62,Cash,2025-04-23,Vivaan Ghosh,18.0,Other,Bengaluru,2022-03-29,Books,807.27,58.0
T000051,U0145,P044,25.62,Debit Card,2023-12-15,Aarav Kulkarni,34.0,Male,Kolkata,2022-05-10,Beauty,1655.45,268.0
T000052,U0045,P006,94.7,Cash,2025-02-22,Sai Chopra,20.0,Male,Mumbai,2022-03-14,Clothing,3250.7,467.0
T000053,U0159,P044,154.71,Debit Card,2025-10-16,Aditya Khan,22.0,Female,Kolkata,2024-02-08,Beauty,1655.45,268.0
T000054,U0150,P010,101.44,Debit Card,2025-08-02,Muhammad Gupta,34.0,Other,Kolkata,2022-04-15,Sports,1315.44,77.0
T000055,U0164,P017,21.94,Net Banking,2024-06-06,Muhammad Gupta,25.0,Male,Indore,2023-05-16,Beauty,3697.53,235.0
T000056,U0171,P001,40.83,Net Banking,2024-08-12,Sai Patel,24.0,Other,Chennai,2022-11-20,Grocery,393.65,371.0
T000057,U0174,P035,116.76,Debit Card,2023-06-01,Ira Kulkarni,34.0,Female,Hyderabad,2024-05-02,Sports,2998.97,82.0
T000058,U0114,P023,35.71,Cash,2024-09-04,Sai Singh,51.0,Male,Chennai,2022-05-31,Books,1984.98,450.0
T000059,U0164,P028,71.26,Wallet,2024-05-27,Muhammad Gupta,25.0,Male,Indore,2023-05-16,Home,3602.11,250.0
T000060,U0117,P020,86.9,Debit Card,2025-02-26,Aadhya Joshi,31.0,Female,Kolkata,2022-06-01,Toys,1595.75,428.0
T000061,U0124,P007,31.31,Debit Card,2025-02-20,Ishaan Ghosh,20.0,Other,Jaipur,2024-02-24,Books,2084.59,134.0
T000062,U0147,P023,52.68,Cash,2024-08-28,Ishaan Mehta,22.0,Male,Ghaziabad,2023-09-14,Books,1984.98,450.0
T000063,U0180,P019,21.28,Credit Card,2025-03-21,Reyansh Verma,53.0,Female,Bhopal,2022-04-27,Home,523.79,441.0
T000064,U0071,P001,29.53,Cash,2023-04-11,Kabir Roy,34.0,Female,Bengaluru,2022-01-10,Grocery,393.65,371.0
T000065,U0156,P048,46.92,Net Banking,2024-08-09,Reyansh Amin,26.0,Other,Jaipur,2023-09-23,Clothing,3666.72,295.0
T000066,U0199,P015,25.82,Cash,2024-12-22,Meera Roy,32.0,Male,Ghaziabad,2022-02-10,Books,2286.25,251.0
T000067,U0057,P041,145.39,Debit Card,2024-05-28,Aarav Gupta,25.0,Male,Pune,2023-02-21,Home,3218.83,273.0
T000068,U0174,P049,23.15,Wallet,2023-10-08,Ira Kulkarni,34.0,Female,Hyderabad,2024-05-02,Home,1701.17,159.0
T000069,U0161,P007,41.93,Wallet,2023-03-22,Aarav Joshi,24.0,Female,Pune,2023-05-15,Books,2084.59,134.0
T000070,U0080,P029,59.05,Credit Card,2025-01-17,Ishaan Amin,18.0,Female,Jaipur,2024-07-16,Clothing,393.65,289.0
T000071,U0188,P009,129.64,Credit Card,2024-08-27,Muhammad Das,31.0,Female,Bengaluru,2022-06-10,Clothing,1799.44,163.0
T000072,U0084,P048,23.07,Net Banking,2023-12-26,Kiara Kapoor,27.0,Male,Hyderabad,2022-03-19,Clothing,3666.72,295.0
T000073,U0052,P009,109.72,Cash,2025-01-19,Vivaan Patel,28.0,Male,Nagpur,2024-01-16,Clothing,1799.44,163.0
T000074,U0136,P033,54.93,UPI,2023-12-03,Anaya Bose,44.0,Other,Pune,2024-05-10,Clothing,3874.48,45.0
T000075,U0066,P031,30.3,UPI,2024-11-24,Aditya Ghosh,42.0,Female,Hyderabad,2024-08-22,Grocery,3035.94,111.0
T000076,U0030,P030,72.04,Credit Card,2023-10-16,Aarohi Sharma,29.0,Other,Hyderabad,2023-11-30,Home,685.55,36.0
T000077,U0194,P015,61.52,Wallet,2025-03-24,Vihaan Kapoor,22.0,Male,Ahmedabad,2024-07-19,Books,2286.25,251.0
T000078,U0143,P024,38.09,Credit Card,2025-03-19,Aarohi Verma,19.0,Female,Kolkata,2023-10-28,Home,2509.0,267.0
T000079,U0004,P017,56.93,Cash,2023-09-11,Aarav Gupta,44.0,Male,Kolkata,2023-06-02,Beauty,3697.53,235.0
T000080,U0117,P024,43.33,Wallet,2024-06-20,Aadhya Joshi,31.0,Female,Kolkata,2022-06-01,Home,2509.0,267.0
T000081,U0150,P025,58.45,Wallet,2025-01-30,Muhammad Gupta,34.0,Other,Kolkata,2022-04-15,Electronics,1408.97,272.0
T000082,U0028,P044,81.23,Debit Card,2025-08-23,Kiara Kulkarni,35.0,Male,Nagpur,2023-01-26,Beauty,1655.45,268.0
T000083,U0007,P040,141.4,Cash,2024-11-02,Ishaan Sharma,44.0,Male,Indore,2022-12-15,Grocery,4011.76,36.0
T000084,U0157,P015,25.98,Wallet,2023-05-10,Aarohi Joshi,46.0,Female,Indore,2024-04-25,Books,2286.25,251.0
T000085,U0163,P030,154.71,Wallet,2024-09-10,Sara Khan,41.0,Other,Mumbai,2023-06-14,Home,685.55,36.0
T000086,U0167,P027,21.28,Credit Card,2023-10-14,Sai Bose,38.0,Other,Kolkata,2022-11-10,Toys,2241.45,134.0
T000087,U0012,P003,49.85,UPI,2025-10-05,Aarohi Singh,28.0,Other,Ghaziabad,2024-06-25,Beauty,3027.98,127.0
T000088,U0030,P007,77.71,Debit Card,2023-10-05,Aarohi Sharma,29.0,Other,Hyderabad,2023-11-30,Books,2084.59,134.0
T000089,U0100,P030,64.62,UPI,2025-05-08,Anaya Mukherjee,30.0,Other,Visakhapatnam,2022-04-29,Home,685.55,36.0
T000090,U0151,P048,37.58,Wallet,2023-11-13,Kabir Kulkarni,34.0,Male,Patna,2024-03-12,Clothing,3666.72,295.0
T000091,U0107,P042,48.19,Credit Card,2025-09-29,Kiara Bose,47.0,Other,Pune,2023-09-23,Home,4406.39,59.0
T000092,U0158,P027,40.62,UPI,2023-03-09,Saanvi Khan,35.0,Female,Kolkata,2024-04-30,Toys,2241.45,134.0
T000093,U0177,P024,38.34,Debit Card,2025-06-27,Ishaan Verma,32.0,Male,Vadodara,2022-10-27,Home,2509.0,267.0
T000094,U0114,P016,90.9,UPI,2023-07-23,Sai Singh,51.0,Male,Chennai,2022-05-31,Books,807.27,58.0
T000095,U0176,P024,67.64,Cash,2025-01-04,Kabir Sharma,38.0,Other,Vadodara,2022-05-10,Home,2509.0,267.0
T000096,U0016,P026,36.03,UPI,2024-01-24,Diya Iyer,27.0,Female,Kanpur,2022-08-03,Beauty,3490.97,332.0
T000097,U0032,P030,93.67,Credit Card,2024-03-10,Kabir Mukherjee,46.0,Male,Thane,2022-01-04,Home,685.55,36.0
T000098,U0165,P041,65.65,Cash,2023-02-13,Aarohi Ghosh,39.0,Other,Bhopal,2023-10-24,Home,3218.83,273.0
T000099,U0013,P022,88.92,Debit Card,2023-09-15,Diya Chopra,33.0,Male,Bengaluru,2022-02-16,Electronics,3207.91,466.0
T000100,U0145,P014,79.66,Credit Card,2024-02-29,Aarav Kulkarni,34.0,Male,Kolkata,2022-05-10,Beauty,3844.95,467.0
T000101,U0151,P014,33.2,Debit Card,2024-11-03,Kabir Kulkarni,34.0,Male,Patna,2024-03-12,Beauty,3844.95,467.0
T000102,U0199,P010,39.01,Cash,2023-01-06,Meera Roy,32.0,Male,Ghaziabad,2022-02-10,Sports,1315.44,77.0
T000103,U0071,P010,85.49,Debit Card,2024-05-28,Kabir Roy,34.0,Female,Bengaluru,2022-01-10,Sports,1315.44,77.0
T000104,U0045,P008,78.75,Wallet,2023-02-22,Sai Chopra,20.0,Male,Mumbai,2022-03-14,Books,4406.39,161.0
T000105,U0034,P001,53.92,UPI,2024-05-02,Vihaan Singh,23.0,Other,Visakhapatnam,2023-09-16,Grocery,393.65,371.0
T000106,U0151,P021,58.58,Credit Card,2023-12-23,Kabir Kulkarni,34.0,Male,Patna,2024-03-12,Books,3055.12,169.0
T000107,U0068,P004,117.52,Debit Card,2025-05-12,Sara Gupta,40.0,Female,Patna,2023-08-02,Toys,2600.12,229.0
T000108,U0135,P008,38.28,Wallet,2023-05-11,Ishaan Mukherjee,24.0,Female,Mumbai,2023-02-03,Books,4406.39,161.0
T000109,U0122,P029,75.81,UPI,2023-08-12,Myra Kulkarni,24.0,Other,Visakhapatnam,2023-03-13,Clothing,393.65,289.0
T000110,U0116,P033,48.36,Debit Card,2023-03-30,Aditya Roy,34.0,Female,Patna,2022-07-19,Clothing,3874.48,45.0
T000111,U0187,P043,47.91,Cash,2024-09-09,Vivaan Kulkarni,35.0,Other,Hyderabad,2024-08-28,Home,3416.65,309.0
T000112,U0118,P042,105.56,Credit Card,2023-05-05,Aarav Patel,22.0,Female,Kolkata,2022-06-30,Home,4406.39,59.0
T000113,U0123,P026,89.59,Net Banking,2023-08-10,Aarohi Roy,43.0,Male,Bhopal,2023-04-06,Beauty,3490.97,332.0
T000114,U0126,P046,88.95,Net Banking,2023-05-31,Myra Gupta,49.0,Other,Surat,2022-08-29,Toys,4406.39,267.0
T000115,U0021,P021,119.5,Cash,2023-10-31,Ishaan Gupta,43.0,Male,Patna,2024-06-16,Books,3055.12,169.0
T000116,U0017,P009,55.29,UPI,2024-10-27,Ishaan Gupta,23.0,Other,Pune,2023-07-01,Clothing,1799.44,163.0
T000117,U0098,P039,82.2,Cash,2024-08-26,Ishaan Iyer,34.0,Other,Jaipur,2022-02-09,Grocery,4167.72,453.0
T000118,U0117,P033,45.32,Cash,2025-05-31,Aadhya Joshi,31.0,Female,Kolkata,2022-06-01,Clothing,3874.48,45.0
T000119,U0026,P045,66.32,Credit Card,2024-03-16,Ira Joshi,32.0,Male,Delhi,2024-05-31,Grocery,992.11,139.0
T000120,U0111,P029,50.5,Debit Card,2025-04-27,Myra Roy,18.0,Other,Chennai,2023-06-08,Clothing,393.65,289.0
T000121,U0087,P030,57.87,Net Banking,2025-05-01,Kabir Mehta,39.0,Male,Kanpur,2022-08-04,Home,685.55,36.0
T000122,U0187,P007,78.03,UPI,2025-05-24,Vivaan Kulkarni,35.0,Other,Hyderabad,2024-08-28,Books,2084.59,134.0
T000123,U0081,P043,33.42,UPI,2025-02-05,Vivaan Gupta,30.0,Other,Indore,2024-04-29,Home,3416.65,309.0
T000124,U0040,P044,154.71,Net Banking,2023-05-18,Meera Kapoor,33.0,Male,Jaipur,2023-06-25,Beauty,1655.45,268.0
T000125,U0024,P006,29.86,Credit Card,2025-06-03,Aarohi Kapoor,20.0,Female,Patna,2023-03-15,Clothing,3250.7,467.0
T000126,U0025,P048,26.35,Wallet,2025-02-02,Saanvi Bose,27.0,Female,Kolkata,2022-05-22,Clothing,3666.72,295.0
T000127,U0034,P036,109.38,Credit Card,2024-11-06,Vihaan Singh,23.0,Other,Visakhapatnam,2023-09-16,Sports,1650.69,388.0
T000128,U0172,P008,87.79,Net Banking,2024-12-25,Vihaan Kapoor,25.0,Other,Pune,2022-07-16,Books,4406.39,161.0
T000129,U0171,P049,79.4,Net Banking,2023-04-16,Sai Patel,24.0,Other,Chennai,2022-11-20,Home,1701.17,159.0
T000130,U0074,P039,79.6,UPI,2024-12-21,Diya Gupta,44.0,Male,Kanpur,2022-10-19,Grocery,4167.72,453.0
T000131,U0027,P037,54.2,Cash,2024-03-11,Vihaan Reddy,22.0,Other,Pune,2024-03-22,Clothing,1750.62,467.0
T000132,U0040,P043,31.87,Net Banking,2024-04-04,Meera Kapoor,33.0,Male,Jaipur,2023-06-25,Home,3416.65,309.0
T000133,U0028,P023,57.14,Cash,2025-01-22,Kiara Kulkarni,35.0,Male,Nagpur,2023-01-26,Books,1984.98,450.0
T000134,U0030,P049,36.37,UPI,2024-04-08,Aarohi Sharma,29.0,Other,Hyderabad,2023-11-30,Home,1701.17,159.0
T000135,U0110,P036,98.01,Cash,2023-02-23,Saanvi Kulkarni,31.0,Other,Lucknow,2023-04-22,Sports,1650.69,388.0
T000136,U0156,P043,49.99,Wallet,2024-07-01,Reyansh Amin,26.0,Other,Jaipur,2023-09-23,Home,3416.65,309.0
T000137,U0008,P012,33.27,UPI,2024-09-24,Ishaan Reddy,38.0,Male,Lucknow,2022-04-15,Sports,4263.31,176.0
T000138,U0087,P023,45.02,Credit Card,2024-01-07,Kabir Mehta,39.0,Male,Kanpur,2022-08-04,Books,1984.98,450.0
T000139,U0037,P037,69.95,Wallet,2025-03-31,Aarav Patel,33.0,Female,Surat,2022-09-03,Clothing,1750.62,467.0
T000140,U0018,P010,38.93,Wallet,2023-03-04,Sai Iyer,34.0,Female,Nagpur,2022-10-04,Sports,1315.44,77.0
T000141,U0024,P048,33.34,Cash,2024-03-16,Aarohi Kapoor,20.0,Female,Patna,2023-03-15,Clothing,3666.72,295.0
T000142,U0097,P027,63.19,Net Banking,2024-11-29,Aarohi Nair,34.0,Male,Hyderabad,2024-06-17,Toys,2241.45,134.0
T000143,U0041,P024,63.24,UPI,2024-10-26,Sara Mukherjee,37.0,Male,Vadodara,2024-02-13,Home,2509.0,267.0
T000144,U0199,P037,40.28,Cash,2023-06-23,Meera Roy,32.0,Male,Ghaziabad,2022-02-10,Clothing,1750.62,467.0
T000145,U0014,P010,41.16,Debit Card,2023-04-12,Sai Singh,18.0,Male,Kolkata,2024-06-06,Sports,1315.44,77.0
T000146,U0173,P006,62.75,UPI,2025-06-26,Muhammad Joshi,31.0,Female,Patna,2024-09-27,Clothing,3250.7,467.0
T000147,U0170,P028,22.9,Net Banking,2025-06-24,Diya Roy,25.0,Female,Surat,2022-09-15,Home,3602.11,250.0
T000148,U0107,P018,23.47,Debit Card,2023-08-22,Kiara Bose,47.0,Other,Pune,2023-09-23,Electronics,2390.82,158.0
T000149,U0089,P028,35.48,Credit Card,2024-08-03,Kiara Kulkarni,27.0,Other,Ahmedabad,2024-08-05,Home,3602.11,250.0
T000150,U0174,P044,48.04,Cash,2025-09-23,Ira Kulkarni,34.0,Female,Hyderabad,2024-05-02,Beauty,1655.45,268.0
T000151,U0135,P043,65.8,UPI,2023-04-04,Ishaan Mukherjee,24.0,Female,Mumbai,2023-02-03,Home,3416.65,309.0
T000152,U0057,P026,132.32,Cash,2023-04-23,Aarav Gupta,25.0,Male,Pune,2023-02-21,Beauty,3490.97,332.0
T000153,U0002,P014,91.34,UPI,2024-03-08,Sai Reddy,30.0,Other,Hyderabad,2023-11-24,Beauty,3844.95,467.0
T000154,U0197,P009,49.6,UPI,2024-08-15,Kabir Roy,24.0,Male,Thane,2023-12-07,Clothing,1799.44,163.0
T000155,U0084,P008,53.98,Credit Card,2025-10-15,Kiara Kapoor,27.0,Male,Hyderabad,2022-03-19,Books,4406.39,161.0
T000156,U0192,P028,29.92,Debit Card,2023-09-22,Kabir Roy,38.0,Male,Kolkata,2024-08-04,Home,3602.11,250.0
T000157,U0098,P035,54.0,Wallet,2024-04-16,Ishaan Iyer,34.0,Other,Jaipur,2022-02-09,Sports,2998.97,82.0
T000158,U0129,P036,45.92,Wallet,2024-12-26,Arjun Das,32.0,Male,Indore,2023-02-22,Sports,1650.69,388.0
T000159,U0019,P026,66.26,Wallet,2023-03-28,Aarohi Ghosh,24.0,Other,Lucknow,2024-05-13,Beauty,3490.97,332.0
T000160,U0112,P002,33.24,Net Banking,2023-06-09,Meera Iyer,31.0,Other,Bengaluru,2022-10-18,Grocery,605.91,150.0
T000161,U0081,P037,74.56,Net Banking,2025-04-08,Vivaan Gupta,30.0,Other,Indore,2024-04-29,Clothing,1750.62,467.0
T000162,U0182,P041,136.95,Net Banking,2024-08-15,Vivaan Reddy,25.0,Male,Patna,2024-08-29,Home,3218.83,273.0
T000163,U0030,P026,51.15,Credit Card,2024-10-27,Aarohi Sharma,29.0,Other,Hyderabad,2023-11-30,Beauty,3490.97,332.0
T000164,U0044,P040,69.48,Net Banking,2025-01-11,Aditya Nair,29.0,Male,Patna,2023-07-22,Grocery,4011.76,36.0
T000165,U0023,P028,82.61,Credit Card,2024-05-13,Myra Reddy,32.0,Female,Ahmedabad,2022-09-10,Home,3602.11,250.0
T000166,U0112,P038,42.92,Net Banking,2023-06-11,Meera Iyer,31.0,Other,Bengaluru,2022-10-18,Home,393.65,58.0
T000167,U0102,P020,62.46,Wallet,2024-11-26,Kiara Sharma,28.0,Other,Vadodara,2023-12-05,Toys,1595.75,428.0
T000168,U0057,P022,55.01,Debit Card,2023-06-06,Aarav Gupta,25.0,Male,Pune,2023-02-21,Electronics,3207.91,466.0
T000169,U0131,P041,57.89,Credit Card,2024-02-02,Muhammad Mukherjee,19.0,Female,Patna,2024-08-26,Home,3218.83,273.0
T000170,U0199,P023,34.34,UPI,2023-10-30,Meera Roy,32.0,Male,Ghaziabad,2022-02-10,Books,1984.98,450.0
T000171,U0061,P007,55.41,Debit Card,2024-06-08,Aarohi Joshi,28.0,Male,Chennai,2022-10-31,Books,2084.59,134.0
T000172,U0051,P012,73.61,Cash,2023-11-10,Kiara Mehta,34.0,Female,Indore,2023-04-24,Sports,4263.31,176.0
T000173,U0195,P049,130.41,Wallet,2023-06-04,Ishaan Reddy,33.0,Male,Delhi,2022-06-19,Home,1701.17,159.0
T000174,U0046,P050,97.08,Wallet,2025-10-08,Vivaan Ghosh,26.0,Male,Delhi,2024-05-30,Toys,2833.37,45.0
T000175,U0119,P049,154.71,Cash,2025-07-08,Ira Roy,41.0,Male,Vadodara,2022-09-13,Home,1701.17,159.0
T000176,U0175,P037,34.45,Wallet,2024-10-23,Muhammad Singh,34.0,Male,Kanpur,2022-07-03,Clothing,1750.62,467.0
T000177,U0161,P021,92.15,Debit Card,2025-06-19,Aarav Joshi,24.0,Female,Pune,2023-05-15,Books,3055.12,169.0
T000178,U0018,P031,60.95,Net Banking,2024-09-12,Sai Iyer,34.0,Female,Nagpur,2022-10-04,Grocery,3035.94,111.0
T000179,U0071,P038,154.71,Credit Card,2024-12-21,Kabir Roy,34.0,Female,Bengaluru,2022-01-10,Home,393.65,58.0
T000180,U0130,P005,33.62,UPI,2025-08-03,Anaya Kapoor,27.0,Female,Indore,2022-03-05,Books,1178.99,36.0
T000181,U0116,P003,32.99,Credit Card,2025-01-25,Aditya Roy,34.0,Female,Patna,2022-07-19,Beauty,3027.98,127.0
T000182,U0074,P005,38.11,Wallet,2023-07-04,Diya Gupta,44.0,Male,Kanpur,2022-10-19,Books,1178.99,36.0
T000183,U0158,P039,21.28,Cash,2025-02-26,Saanvi Khan,35.0,Female,Kolkata,2024-04-30,Grocery,4167.72,453.0
T000184,U0119,P038,39.83,Cash,2023-03-26,Ira Roy,41.0,Male,Vadodara,2022-09-13,Home,393.65,58.0
T000185,U0116,P037,34.62,Wallet,2024-01-21,Aditya Roy,34.0,Female,Patna,2022-07-19,Clothing,1750.62,467.0
T000186,U0083,P039,59.75,Net Banking,2025-10-23,Arjun Khan,43.0,Male,Thane,2023-07-19,Grocery,4167.72,453.0
T000187,U0039,P004,67.02,Net Banking,2023-07-31,Meera Gupta,21.0,Other,Ahmedabad,2022-05-12,Toys,2600.12,229.0
T000188,U0088,P046,154.71,Credit Card,2025-10-30,Sai Patel,34.0,Female,Vadodara,2024-06-24,Toys,4406.39,267.0
T000189,U0166,P012,96.57,Credit Card,2024-05-22,Meera Roy,35.0,Male,Bengaluru,2022-10-29,Sports,4263.31,176.0
T000190,U0182,P029,38.62,Net Banking,2023-11-22,Vivaan Reddy,25.0,Male,Patna,2024-08-29,Clothing,393.65,289.0
T000191,U0094,P024,31.85,UPI,2025-03-04,Kabir Ghosh,29.0,Male,Mumbai,2023-11-07,Home,2509.0,267.0
T000192,U0105,P050,73.34,UPI,2023-04-18,Kabir Amin,30.0,Female,Indore,2022-12-01,Toys,2833.37,45.0
T000193,U0162,P042,24.73,UPI,2023-05-15,Muhammad Mehta,38.0,Female,Lucknow,2022-10-14,Home,4406.39,59.0
T000194,U0085,P007,154.71,Cash,2025-03-02,Arjun Kapoor,25.0,Male,Kanpur,2023-08-20,Books,2084.59,134.0
T000195,U0073,P017,110.79,Wallet,2023-11-04,Aarohi Das,31.0,Other,Jaipur,2022-05-16,Beauty,3697.53,235.0
T000196,U0086,P006,41.2,Cash,2023-10-17,Aarohi Reddy,27.0,Female,Ahmedabad,2022-02-12,Clothing,3250.7,467.0
T000197,U0090,P020,21.28,Wallet,2025-03-13,Sai Iyer,36.0,Male,Indore,2022-01-26,Toys,1595.75,428.0
T000198,U0034,P039,123.02,Wallet,2023-06-23,Vihaan Singh,23.0,Other,Visakhapatnam,2023-09-16,Grocery,4167.72,453.0
T000199,U0080,P036,50.97,Net Banking,2024-11-03,Ishaan Amin,18.0,Female,Jaipur,2024-07-16,Sports,1650.69,388.0
T000200,U0033,P043,114.74,Wallet,2023-07-11,Ishaan Amin,31.0,Male,Visakhapatnam,2024-07-23,Home,3416.65,309.0
T000201,U0166,P043,21.28,Net Banking,2025-01-11,Meera Roy,35.0,Male,Bengaluru,2022-10-29,Home,3416.65,309.0
